Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
IMMUNOASSAY INFECTIOUS AGENT ANTIBODY QUAN NOS                                  ,$94.00 ,,
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE                                          ,$180.00 ,,
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 125                                   ,$117.00 ,,
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 15-3                                  ,$203.00 ,,
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 19-9                                  ,$99.00 ,,
IMMUNODIFFUSION GEL DIFFUSION QUAL EA AG/ANTBDY                                 ,$28.00 ,,
IMMUNOFIXJ ELECTROPHORESIS OTHER FLUIDS                                         ,$138.00 ,,
IMMUNOFIXJ ELECTROPHORESIS SERUM                                                ,$178.00 ,,
IMMUNOFLUORESCENCE PER SPEC 1ST SINGL ANTB STAIN                                ,$277.00 ,,
IMMUNOFLUORESCENCE PER SPEC ADD SINGL ANTB STAIN                                ,$978.00 ,,
IMPLANTABLE WIRELESS PULMONARY ARTERY PRESSURE SENSOR W                         ,"$45,000.00 ",,
IMPLANTABLE/INSERTABLE DEVICE FOR DEVICE INTENSIVE PROC                         ,"$2,400.00 ",,
IMPLTJ REVJ/RPSG ITHCL/EDRL CATH PMP W/O LAM                                    ,"$5,803.00 ",,
IMPLTJ/RPLCMT FS NON-PRGRBL PUMP                                                ,"$29,105.00 ",,
IMPLTJ/RPLCMT ITHCL/EDRL DRUG NFS PRGRBL PUMP                                   ,$661.00 ,,
IMPLTJ/RPLCMT ITHCL/EDRL DRUG NFS SUBQ RSVR                                     ,"$29,105.00 ",,
IMPORTED LIPODOX INJ 10MG,$0.00 ,Invoice-based charges,
IN SITU HYBRIDIZATION 1ST PROBE STAIN                                           ,$368.00 ,,
IN SITU HYBRIDIZATION EA ADDL PROBE STAIN                                       ,$168.00 ,,
INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE                                ,$546.00 ,,
INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE                                       ,$546.00 ,,
INCISION & DRAINAGE COMPLEX PO WOUND INFECTION                                  ,"$7,520.00 ",,
INCISION & DRAINAGE PILONIDAL CYST COMPLICATED                                  ,"$3,854.00 ",,
INCISION & DRAINAGE PILONIDAL CYST SIMPLE                                       ,"$3,854.00 ",,
INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL                                 ,"$3,854.00 ",,
INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE                                ,"$1,060.00 ",,
INCISION BONE CORTEX FOOT                                                       ,"$1,538.00 ",,
INCISION CONJUNCTIVA DRAINAGE OF CYST                                           ,"$1,839.00 ",,
INCISION THROMBOSED HEMORRHOID EXTERNAL                                         ,$478.00 ,,
INCISION&DRAINAGE BURSA FOOT                                                    ,$990.00 ,,
INCISIONAL BIOPSY EYELID SKIN & LID MARGIN                                      ,"$1,235.00 ",,
INCOBOTLINMTXIN A 1 UNIT-WASTE,$0.00 ,Invoice-based charges,
INCOBOTULINUMTOXIN A 1 UNIT,$0.00 ,Invoice-based charges,
"INDIUM IN-111 CAPROMAB PENDETIDE, DIAGNOSTIC, PER STUDY                         ","$5,014.00 ",,
"INDIUM IN-111 IBRITUMOMAB TIUXETAN, DIAGNOSTIC, PER STU                         ","$7,000.00 ",,
"INDIUM IN-111 LABELED AUTOLOGOUS WHITE BLOOD CELLS, DIA                         ","$4,058.00 ",,
"INDIUM IN-111 PENTETATE, DIAGNOSTIC, PER 0.5 MILLICURIE                         ","$3,314.00 ",,
"INDIUM IN-111 PENTETREOTIDE, DIAGNOSTIC, PER STUDY DOSE                         ","$5,506.00 ",,
INDOCYANINE-GREEN ANGRPH W/MULTIFRAME I&R UNI/BI                                ,$727.00 ,,
INDUCED ABORTION DILATION & EVACUATION                                          ,"$6,226.00 ",,
INDUCED ABORTION DILATION AND CURETTAGE                                         ,"$6,840.00 ",,
INDUCTION ARRHYTHMIA ELECTRICAL PACING                                          ,"$1,396.00 ",,
INF AGENT DET NUCLEIC ACID CLOSTRIDIUM AMP PROBE                                ,$215.00 ,,
INFECTIOUS AGENT DNA/RNA INFLUENZA 1ST 2 TYPES                                  ,$547.00 ,,
"INFUSION PUMP SYSTEM, IMPLANTABLE, PROGRAMMABLE (INCLUD                         ","$13,573.00 ",,
"INFUSION PUMP, PROGRAMMABLE (IMPLANTABLE)                                       ","$13,573.00 ",,
"INFUSION, D5W, 1000 CC",$0.00 ,Invoice-based charges,
"INFUSN,ALBUMIN(HUMAN),25 ,50ML",$0.00 ,Invoice-based charges,
"INFUSN,ALBUMIN(HUMAN),5 , 50ML",$0.00 ,Invoice-based charges,
"INFUSN,ALBUMIN(HUMAN),5 ,250ML",$0.00 ,Invoice-based charges,
"INFUSN,NORMAL SALIN SOL,250CC",$0.00 ,Invoice-based charges,
INGESTION CHALLENGE TEST EACH ADDL 60 MINUTES                                   ,"$1,983.00 ",,
INGESTION CHALLENGE TEST INITIAL 120 MINUTES                                    ,"$1,983.00 ",,
INHIBIN A                                                                       ,$43.00 ,,
INITIAL HOSPITAL CARE/DAY 70 MINUTES                                            ,"$3,947.00 ",,
INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR                                  ,$53.00 ,,
INITIAL PREVENTIVE MEDICINE NEW PATIENT 40-64YRS                                ,$239.00 ,,
INITIAL PREVENTIVE MEDICINE NEW PATIENT 65YRS&>                                 ,$332.00 ,,
INITIAL PREVENTIVE MEDICINE NEW PT AGE 12-17 YR                                 ,$180.00 ,,
INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS                                  ,$68.00 ,,
INITIAL PREVENTIVE MEDICINE NEW PT AGE 18-39YRS                                 ,$180.00 ,,
INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS                                 ,$68.00 ,,
INITIAL PREVENTIVE PHYSICAL EXAMINATION; FACE-TO-FACE V                         ,$344.00 ,,
INITIAL TX 1ST DEGREE BURN LOCAL TX                                             ,$140.00 ,,
INJ ADALIMUMAB 20 MG,$0.00 ,Invoice-based charges,
INJ ADENOSINE DIAG 1MG,$0.00 ,Invoice-based charges,
INJ- ADREN EPINEPH 0.1MG,$0.00 ,Invoice-based charges,
"INJ- AGALSIDASE BETA, 1 MG",$0.00 ,Invoice-based charges,
INJ ALPHA 1-PROTEINASE INHIBTR,$0.00 ,Invoice-based charges,
INJ ALTEPLASE RCMBNT 1MG WASTE,$0.00 ,Invoice-based charges,
INJ ALTEPLASE RECOMBNAT (1 MG),$0.00 ,Invoice-based charges,
INJ AMOBARBITAL TO 125MG WASTE,$0.00 ,Invoice-based charges,
INJ AMPHTERCN B LPD CPLX 10 MG,$0.00 ,Invoice-based charges,
INJ ARIPIPRAZOLE EXT REL 1MG,$0.00 ,Invoice-based charges,
INJ ASPRGNAS(ERWINAZE)1000 IU,$0.00 ,Invoice-based charges,
"INJ AVELUMAB, 10 MG",$0.00 ,Invoice-based charges,
"INJ AVELUMAB, 10 MG WSTE",$0.00 ,Invoice-based charges,
INJ BACLOFEN 10 MG,$0.00 ,Invoice-based charges,
INJ BELATACEPT 1 MG,$0.00 ,Invoice-based charges,
INJ BELINOSTAT 10 MG,$0.00 ,Invoice-based charges,
INJ BETA INTERFERON IM 1 MCG,$0.00 ,Invoice-based charges,
INJ BEVACIZUMAB 10MG WASTE,$0.00 ,Invoice-based charges,
INJ BLINATUMOMAB 1 MCG,$0.00 ,Invoice-based charges,
INJ BRENTUXIMAB VDTN 1MGWASTE,$0.00 ,Invoice-based charges,
INJ BRENTUXIMAB VEDOTIN 1MG,$0.00 ,Invoice-based charges,
"INJ- CABAZITAXEL, 1MG",$0.00 ,Invoice-based charges,
"INJ CALCITONIN SALMON, TO 400U",$0.00 ,Invoice-based charges,
INJ CEFTAZIDIME& AVIBACTAM,$0.00 ,Invoice-based charges,
INJ CETUXIMAB 10MG WASTE,$0.00 ,Invoice-based charges,
INJ DENOSUMAB 1MG,$0.00 ,Invoice-based charges,
INJ DESMOPRESSIN ACETATE 1 MCG,$0.00 ,Invoice-based charges,
INJ DEXAMETHASONE INT IMP .1MG,$0.00 ,Invoice-based charges,
INJ EPTIFIBATIDE 5 MG WASTE,$0.00 ,Invoice-based charges,
INJ FILGRASTIM G-CSF BIOSIM,$0.00 ,Invoice-based charges,
INJ FLGRSTM G-CSF BIOSM- WASTE,$0.00 ,Invoice-based charges,
INJ FOMEPIZOLE 15 MG WASTE,$0.00 ,Invoice-based charges,
INJ HEPAGAM B IM  0.5 ML,$0.00 ,Invoice-based charges,
INJ HMN FIBRNGN CONC 1MG WSTE,$0.00 ,Invoice-based charges,
INJ HUMAN FIBRINOGN CONC 1MG,$0.00 ,Invoice-based charges,
"INJ- IBUPROFEN, 100MG",$0.00 ,Invoice-based charges,
INJ IBUTILIDE FUMRTE 1MG WASTE,$0.00 ,Invoice-based charges,
"INJ- IMIGLUCERASE, 10UNITS",$0.00 ,Invoice-based charges,
"INJ- INTERFERON B-1A, 30MCG",$0.00 ,Invoice-based charges,
INJ IV HEPAGAM B 0.5 ML,$0.00 ,Invoice-based charges,
INJ LANREOTIDE 1MG,$0.00 ,Invoice-based charges,
INJ LIPOS 1MG DAUORUBC-CYTARAB,$0.00 ,Invoice-based charges,
INJ LIPOS 1MG DAURBC-CYTRB WST,$0.00 ,Invoice-based charges,
INJ MEPOLIZUMAB 1MG,$0.00 ,Invoice-based charges,
"INJ NESIRITIDE,PER 0.1 MG",$0.00 ,Invoice-based charges,
"INJ- OFATUMUMAB, 10MG",$0.00 ,Invoice-based charges,
"INJ- OLANZAPINE, 1MG",$0.00 ,Invoice-based charges,
INJ- PACLITAXEL 1 MG,$0.00 ,Invoice-based charges,
"INJ PANTOPRAZOLE NA,PER VIAL",$0.00 ,Invoice-based charges,
INJ PEMBROLIZUMAB 1MG,$0.00 ,Invoice-based charges,
INJ PEMBROLIZUMAB 1MG WASTE,$0.00 ,Invoice-based charges,
"INJ- PEN G BENZA 100,000UNITS",$0.00 ,Invoice-based charges,
"INJ PHENTOLAMINE MESYLATE,TO 5",$0.00 ,Invoice-based charges,
"INJ- PRALATREXATE, 1MG",$0.00 ,Invoice-based charges,
INJ PRSRV FR MORPHINE 10 MG,$0.00 ,Invoice-based charges,
INJ PX URETEROGRAPHY/URETEROPYLOGRAPHY CATH                                     ,$422.00 ,,
INJ RADIOACTIVE TRACER FOR ID OF SENTINEL NODE                                  ,$139.00 ,,
"INJ- RAMUCIRUMAB, 5MG",$0.00 ,Invoice-based charges,
INJ REGITINE TO 5MG WASTE,$0.00 ,Invoice-based charges,
INJ RITUXIMAB 100MG WASTE,$0.00 ,Invoice-based charges,
INJ SECRETIN HUMAN 1 MCG WASTE,$0.00 ,Invoice-based charges,
INJ TBO FILGRASTIM 1 MICROG,$0.00 ,Invoice-based charges,
"INJ- TELAVANCIN, 10MG",$0.00 ,Invoice-based charges,
"INJ- TOPOTECAN, 0.1MG",$0.00 ,Invoice-based charges,
INJ TRIAMCINOLON 1 MG WASTE,$0.00 ,Invoice-based charges,
INJ TRIAMCINOLON ACETOND 1MG,$0.00 ,Invoice-based charges,
INJ TRIAMCINOLONE ACETONIDE1MG,$0.00 ,Invoice-based charges,
INJ VINCRISTINE SUL LIP 1MG,$0.00 ,Invoice-based charges,
"INJ, ABATACEPT, PER 10 MG",$0.00 ,Invoice-based charges,
"INJ, ALEMTUZUMAB, 1MG LEMTRADA",$0.00 ,Invoice-based charges,
"INJ, AMPHOTERICIN B, 50 MG",$0.00 ,Invoice-based charges,
"INJ, ARIPIPRAZOLE, IM, 0.25 MG",$0.00 ,Invoice-based charges,
"INJ, AZACITIDINE,PER 1 MG",$0.00 ,Invoice-based charges,
"INJ, AZITHROMYCIN, 500 MG",$0.00 ,Invoice-based charges,
"INJ, BEVACIZUMAB, 0.25 MG",$0.00 ,Invoice-based charges,
"INJ, BEVACIZUMAB, PER 10 MG",$0.00 ,Invoice-based charges,
"INJ, BEZLOTOXUMAB, 10 MG WASTE",$0.00 ,Invoice-based charges,
"INJ, BORTEZOMIB, 0.1 MG",$0.00 ,Invoice-based charges,
"INJ, BUSULFAN, 1 MG",$0.00 ,Invoice-based charges,
"INJ, CAFFEINE CITRATE, 5MG",$0.00 ,Invoice-based charges,
"INJ, CEFEPIME HCL, 500 MG",$0.00 ,Invoice-based charges,
"INJ, CEFTAROLINE FOSAMIL 10MG",$0.00 ,Invoice-based charges,
"INJ, CEFTOLOZANE/TAZOBACTAM",$0.00 ,Invoice-based charges,
"INJ, CETUXIMAB, PER 10 MG",$0.00 ,Invoice-based charges,
"INJ, CIPROFLOXACIN IV, 200MG",$0.00 ,Invoice-based charges,
"INJ, CLONIDINE HYDROCHLOR,1 MG",$0.00 ,Invoice-based charges,
"INJ, COLCHICINE, PER 1MG",$0.00 ,Invoice-based charges,
"INJ, CYTARABINE LIPOSOMAL,10MG",$0.00 ,Invoice-based charges,
"INJ, DECITABINE, 1 MG",$0.00 ,Invoice-based charges,
"INJ, DENOSUMAB 1MG",$0.00 ,Invoice-based charges,
"INJ, DOCETAXEL, 1 MG",$0.00 ,Invoice-based charges,
"INJ, DOLASETRON MESYLATE, 10MG",$0.00 ,Invoice-based charges,
"INJ, DOXERCALCIFEROL, 1 MCG",$0.00 ,Invoice-based charges,
"INJ, DURVALUMAB, 10 MG",$0.00 ,Invoice-based charges,
"INJ, DURVALUMAB, 10 MG WASTE",$0.00 ,Invoice-based charges,
"INJ, ELOTUZUMAB, 1 MG WASTE",$0.00 ,Invoice-based charges,
"INJ, EPOPROSTENOL, 0.5 MG",$0.00 ,Invoice-based charges,
"INJ, ERIBULIN MESYLATE. 0.1 MG",$0.00 ,Invoice-based charges,
"INJ, ETIDRONATE DISODIUM,300MG",$0.00 ,Invoice-based charges,
"INJ, FILGRASTIM G-CSF 1MCG",$0.00 ,Invoice-based charges,
"INJ, FUROSEMIDE, UP TO 20 MG",$0.00 ,Invoice-based charges,
"INJ, GALLIUM NITRATE, 1 MG",$0.00 ,Invoice-based charges,
"INJ, GAMMA GLOBULIN,IM, 1CC",$0.00 ,Invoice-based charges,
"INJ, GATIFLOXACIN, 10MG",$0.00 ,Invoice-based charges,
"INJ, GLATIRAMER ACETATE, 20 MG",$0.00 ,Invoice-based charges,
"INJ, IBANDRONATE, PER 1 MG",$0.00 ,Invoice-based charges,
"INJ, IBUTILIDE, FUMARATE, 1 MG",$0.00 ,Invoice-based charges,
"INJ, ITRACONAZOLE, 50 MG",$0.00 ,Invoice-based charges,
"INJ, LACOSAMIDE 1MG",$0.00 ,Invoice-based charges,
"INJ, LEPIRUDIN, 50 MG",$0.00 ,Invoice-based charges,
"INJ, LEUCOVORIN CALCIUM, 50 MG",$0.00 ,Invoice-based charges,
"INJ, MEROPENEM, 100 MG",$0.00 ,Invoice-based charges,
"INJ, METHADONE HCL, UP TO 10MG",$0.00 ,Invoice-based charges,
"INJ, MICAFUNGIN SODIUM,1 MG",$0.00 ,Invoice-based charges,
"INJ, MIDAZOLAM HCL, PER 1 MG",$0.00 ,Invoice-based charges,
"INJ, MORPHINE SULFATE, 10MG",$0.00 ,Invoice-based charges,
"INJ, NALOXONE HCL, PER 1 MG",$0.00 ,Invoice-based charges,
"INJ, NALTREXONE,DEPOT FORM,1MG",$0.00 ,Invoice-based charges,
"INJ, OLARATUMAB, 10 MG",$0.00 ,Invoice-based charges,
"INJ, OLARATUMAB, 10 MG WASTE",$0.00 ,Invoice-based charges,
"INJ, OMACETAXINE MEP,0.01MG",$0.00 ,Invoice-based charges,
"INJ, OPRELVEKIN, 5 MG",$0.00 ,Invoice-based charges,
"INJ, OXYMORPHONE HCL, UP TO 1",$0.00 ,Invoice-based charges,
"INJ, PALONOSETRON HCI, 25 MCG",$0.00 ,Invoice-based charges,
"INJ, PEMETREXED, PER 10 MG",$0.00 ,Invoice-based charges,
"INJ, PENTOBARBITAL NA, PR 50MG",$0.00 ,Invoice-based charges,
"INJ, PERPHENAZINE, UP TO 5 MG",$0.00 ,Invoice-based charges,
"INJ, PLERIXAFOR, 1 MG",$0.00 ,Invoice-based charges,
"INJ, PROPOFOL, 10 MG",$0.00 ,Invoice-based charges,
"INJ, PYRIDOXINE HCL, 100MG",$0.00 ,Invoice-based charges,
"INJ, RASBURICASE, .5 MG",$0.00 ,Invoice-based charges,
"INJ, SECRETIN, HUMAN, 1 MCG",$0.00 ,Invoice-based charges,
"INJ, SYNVISC PER MG",$0.00 ,Invoice-based charges,
"INJ, THIAMINE HCL, 100 MG",$0.00 ,Invoice-based charges,
"INJ, TIROFIBAN HCL, 0.25 MG",$0.00 ,Invoice-based charges,
"INJ, USTEKINUMAB, 1 MG",$0.00 ,Invoice-based charges,
"INJ, VORICONAZOLE, 10 MG",$0.00 ,Invoice-based charges,
"INJ,ACETAZOLAMIDE NA,TO 500 MG",$0.00 ,Invoice-based charges,
"INJ,ALPHA 1 PROTEIN INHIB,10MG",$0.00 ,Invoice-based charges,
"INJ,ALPROSTADIL, 1.25 MCG",$0.00 ,Invoice-based charges,
"INJ,AMIODARONE HCL,30 MG",$0.00 ,Invoice-based charges,
"INJ,AMITRIPTYLINE HCL,TO 20 MG",$0.00 ,Invoice-based charges,
"INJ,AMOBARBITAL, UP TO 125 MG",$0.00 ,Invoice-based charges,
"INJ,AMPHO B CHOLST SULFAT,10MG",$0.00 ,Invoice-based charges,
"INJ,AMPHOTER B LIPOSOME,10MG",$0.00 ,Invoice-based charges,
"INJ,AMPHOTERICIN B LIPO, 10 MG",$0.00 ,Invoice-based charges,
"INJ,ATROPINE SULFATE,TO 0.01MG",$0.00 ,Invoice-based charges,
"INJ,AUROTHIOGLUCOSE,TO 50 MG",$0.00 ,Invoice-based charges,
"INJ,BACLOFEN, 10 MG",$0.00 ,Invoice-based charges,
"INJ,BENZTROPINE MESYL,PER 1 MG",$0.00 ,Invoice-based charges,
"INJ,BETHANECHOL CL,M/U,TO 5 MG",$0.00 ,Invoice-based charges,
"INJ,BUPRENORPHINE HCL, 0.1MG",$0.00 ,Invoice-based charges,
"INJ,CALCITONIN SALMN,TO 400 UN",$0.00 ,Invoice-based charges,
"INJ,CALCITRIOL, 0.1 MCG",$0.00 ,Invoice-based charges,
"INJ,CEFUROXIME NA,PER 750 MG",$0.00 ,Invoice-based charges,
"INJ,CHLORAMPHENICOL SOD,TO 1 G",$0.00 ,Invoice-based charges,
"INJ,CHLORDIAZEPOX HCL,TO 100 M",$0.00 ,Invoice-based charges,
"INJ,CHLOROPROC HCL,PER 30 ML",$0.00 ,Invoice-based charges,
"INJ,CHLOROTHIAZ NA,PER 500 MG",$0.00 ,Invoice-based charges,
"INJ,COLISTIMETH NA,TO 150 MG",$0.00 ,Invoice-based charges,
"INJ,CORTROSYN, 0.25 MG",$0.00 ,Invoice-based charges,
"INJ,CYTOMEGVIR IM GLOB IV;VIAL",$0.00 ,Invoice-based charges,
"INJ,DAPTOMYCIN,PER 1 MG",$0.00 ,Invoice-based charges,
"INJ,DARBEPO (ESRD), 1 MCG",$0.00 ,Invoice-based charges,
"INJ,DARBEPO,1MCG (NON-ESRD)",$0.00 ,Invoice-based charges,
"INJ,DEXRAZOXANE HCL,250MG (BR)",$0.00 ,Invoice-based charges,
"INJ,DEXRAZOXANE HCL,PER 250 MG",$0.00 ,Invoice-based charges,
"INJ,DIAZOXIDE, UP TO 300 MG",$0.00 ,Invoice-based charges,
"INJ,DIMERCAPROL, PER 100 MG",$0.00 ,Invoice-based charges,
"INJ,DMSO,DIMETH SULF,50 ,50 ML",$0.00 ,Invoice-based charges,
"INJ,EDETATE CA DISOD,TO 1000 M",$0.00 ,Invoice-based charges,
"INJ,EPIRUBICIN HCL,2MG",$0.00 ,Invoice-based charges,
"INJ,EPTIFIBATIDE, 5 MG",$0.00 ,Invoice-based charges,
"INJ,ERYTHROMY LAC,PER 500 MG",$0.00 ,Invoice-based charges,
"INJ,ESTROGEN  CONJUG,PER 25 MG",$0.00 ,Invoice-based charges,
"INJ,FOMEPIZOLE, 15 MG",$0.00 ,Invoice-based charges,
"INJ,FONDAPARINUX SODIUM,0.5MG",$0.00 ,Invoice-based charges,
"INJ,FULVESTRANT,PER 25 MG",$0.00 ,Invoice-based charges,
"INJ,GANCICLOVIR SODIUM, 500 MG",$0.00 ,Invoice-based charges,
"INJ,GLUCAGON HCL, PER 1 MG",$0.00 ,Invoice-based charges,
"INJ,GONADORELIN HCL, 100 MCG",$0.00 ,Invoice-based charges,
"INJ,GRANISETRON HCL,100 MCG",$0.00 ,Invoice-based charges,
"INJ,HALOPERIDL DECAN,PER 50 MG",$0.00 ,Invoice-based charges,
"INJ,HEMIN, 1MG",$0.00 ,Invoice-based charges,
"INJ,HEP NA(HEP LCK),PR 10 UNIT",$0.00 ,Invoice-based charges,
"INJ,HEPARIN SODIUM,PR 1000 UN",$0.00 ,Invoice-based charges,
"INJ,HYALURONIDAS,1-999 USP UNI",$0.00 ,Invoice-based charges,
"INJ,IMIPENEM,CILASTIN,250 MG",$0.00 ,Invoice-based charges,
"INJ,INFLIXIMAB, 10 MG",$0.00 ,Invoice-based charges,
"INJ,INSULIN LISPRO,PER 5 UNITS",$0.00 ,Invoice-based charges,
"INJ,INSULIN,PER 5 UNITS",$0.00 ,Invoice-based charges,
"INJ,INTERFERON BETA-IB,0.25 MG",$0.00 ,Invoice-based charges,
"INJ,IRON SUCROSE,1MG",$0.00 ,Invoice-based charges,
"INJ,IVIG GAMMAKED 500MG",$0.00 ,Invoice-based charges,
"INJ,IVIG,NON-LYO,500 MG,FLEBOG",$0.00 ,Invoice-based charges,
"INJ,IVIG,NON-LYO,500 MG,GAMMAG",$0.00 ,Invoice-based charges,
"INJ,IVIG,NON-LYO,500 MG,GAMUNX",$0.00 ,Invoice-based charges,
"INJ,IVIG,NON-LYO,500 MG,OCTAGM",$0.00 ,Invoice-based charges,
"INJ,LEUPROLIDE ACET,1MG,BRAND",$0.00 ,Invoice-based charges,
"INJ,LEUPROLIDE ACET,PER 3.75MG",$0.00 ,Invoice-based charges,
"INJ,LIDOCAINE HCL,IV(CARD)10MG",$0.00 ,Invoice-based charges,
"INJ,LINEZOLID, 200MG",$0.00 ,Invoice-based charges,
"INJ,MAGNESIUM SULFATE, PER 500",$0.00 ,Invoice-based charges,
"INJ,MEPERIDINE HCL,PER 100 MG",$0.00 ,Invoice-based charges,
"INJ,MEPIVACAINE HCL,PER 10 ML",$0.00 ,Invoice-based charges,
"INJ,METHYLDOPATE  HCL,TO 250MG",$0.00 ,Invoice-based charges,
"INJ,METHYLERG MALEATE,TO 0.2 M",$0.00 ,Invoice-based charges,
"INJ,MIDAZOLAM HCL, PER 1 MG",$0.00 ,Invoice-based charges,
"INJ,MORPHINE SULFATE,TO 10 MG",$0.00 ,Invoice-based charges,
"INJ,NA FERRIC GLUCONAT,12.5 MG",$0.00 ,Invoice-based charges,
"INJ,NALBUPHINE HCL, PER 10 MG",$0.00 ,Invoice-based charges,
"INJ,NANDROLONE DECAN,TO 50MG",$0.00 ,Invoice-based charges,
"INJ,NATALIZUMAB,PER 1 MG",$0.00 ,Invoice-based charges,
"INJ,NEOSTIG METHYLSULF,TO 0.5",$0.00 ,Invoice-based charges,
"INJ,OCTREOTIDE,DEPOT FORM,1 MG",$0.00 ,Invoice-based charges,
"INJ,OCTREOTIDE,NONDEPOT,25MCG",$0.00 ,Invoice-based charges,
"INJ,OXALIPLATIN PER 0.5 MG",$0.00 ,Invoice-based charges,
"INJ,PAMIDRONATE DISODIUM,30 MG",$0.00 ,Invoice-based charges,
"INJ,PAPAVERINE HCL, UP TO 60 M",$0.00 ,Invoice-based charges,
"INJ,PEGAPTANIB NA,0.3 MG",$0.00 ,Invoice-based charges,
"INJ,PEGFILGRASTIM,6MG,WEARABLE",$0.00 ,Invoice-based charges,
"INJ,PEGFILGRASTIM,PR 6 MG VIAL",$0.00 ,Invoice-based charges,
"INJ,PENCLLN G POTASS, 600,000",$0.00 ,Invoice-based charges,
"INJ,PHENYLEPHRINE HCL,UP TO 1",$0.00 ,Invoice-based charges,
"INJ,POTASSIUM CHLORIDE,PER 2 M",$0.00 ,Invoice-based charges,
"INJ,PRALIDOXIME CHLORIDE TO 1G",$0.00 ,Invoice-based charges,
"INJ,PROMETHAZINE HCL,UP TO 50",$0.00 ,Invoice-based charges,
"INJ,PROTIRELIN,PER 250 MCG",$0.00 ,Invoice-based charges,
"INJ,RISPERIDONE,LONGACT,0.5 MG",$0.00 ,Invoice-based charges,
"INJ,ROPIVACAINE HCL,1 MG",$0.00 ,Invoice-based charges,
"INJ,SOMATREM, 1 MG",$0.00 ,Invoice-based charges,
"INJ,SOMATROPIN,1MG",$0.00 ,Invoice-based charges,
"INJ,SPECTINOMYCIN DIHYRDROCL,T",$0.00 ,Invoice-based charges,
"INJ,STREPTOKINASE, PER 250,000",$0.00 ,Invoice-based charges,
"INJ,SUCCINYLCHOLINE CL,TO 20 M",$0.00 ,Invoice-based charges,
"INJ,SUMATRIPTAN SUC,6 MG",$0.00 ,Invoice-based charges,
"INJ,TENECTEPLASE, 1MG",$0.00 ,Invoice-based charges,
"INJ,TERBUTALINE SULFATE,TO 1 M",$0.00 ,Invoice-based charges,
"INJ,THYROTROPIN ALFA, 0.9 MG",$0.00 ,Invoice-based charges,
"INJ,TINZAPARIN SODIUM, 1000 IU",$0.00 ,Invoice-based charges,
"INJ,TREPROSTINIL, 1 MG",$0.00 ,Invoice-based charges,
"INJ,TRIMETREXATE GLUCOR.,25 MG",$0.00 ,Invoice-based charges,
"INJ,TRIPTORELIN PAMOATE,3.75MG",$0.00 ,Invoice-based charges,
"INJ,UROFOLLITROPIN, 75 IU",$0.00 ,Invoice-based charges,
"INJ,VERTEPORFIN, 0.1 MG",$0.00 ,Invoice-based charges,
"INJ,ZIDOVUDINE, 10 MG",$0.00 ,Invoice-based charges,
"INJ,ZIPRASIDONE MESYLATE,10 MG",$0.00 ,Invoice-based charges,
"INJ,ZOLEDRONC ACID/RECLAST,1MG",$0.00 ,Invoice-based charges,
"INJ,ZOLEDRONC ACID/ZOMETA,1MG",$0.00 ,Invoice-based charges,
"INJ. ERTAPENEM,PER 500 MG",$0.00 ,Invoice-based charges,
"INJ. NELARABINE,PER 50 MG",$0.00 ,Invoice-based charges,
INJ-ADENOSINE 1MG,$0.00 ,Invoice-based charges,
"INJ-AGALSIDASE BETA,1MG WASTE",$0.00 ,Invoice-based charges,
INJ-ALTEPLASE RECOMBINANT 1 MG,$0.00 ,Invoice-based charges,
INJ-C-1 ESTERASE BERINERT 10 U,$0.00 ,Invoice-based charges,
INJ-C-1 ESTERASE CINRYZE 10 U,$0.00 ,Invoice-based charges,
INJECT EVALUATE PREVIOUS PERITONEAL-VENOUS SHUNT                                ,"$1,013.00 ",,
INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA                                  ,"$2,767.00 ",,
"INJECT,SINCALIDE,5 MICROGRAMS",$0.00 ,Invoice-based charges,
"INJECTABLE BULKING AGENT, DEXTRANOMER/HYALURONIC ACID C                         ",$680.00 ,,
"INJECTABLE BULKING AGENT, SYNTHETIC IMPLANT, URINARY TR                         ",$240.00 ,,
INJECTION 1 TENDON SHEATH/LIGAMENT APONEUROSIS                                  ,$582.00 ,,
INJECTION AIR/CONTRAST PERITONEAL CAVITY SPX                                    ,$406.00 ,,
INJECTION ANES AGENT SPHENOPALATINE GANGLION                                    ,$904.00 ,,
INJECTION ANES BRACHIAL PLEXUS CONT NFS CATH                                    ,$446.00 ,,
INJECTION ANES FEMORAL NERVE CONT INFUSION CATH                                 ,"$1,519.00 ",,
INJECTION ANES ILIOINGUINAL ILIOHYPOGASTRIC NRVS                                ,"$1,235.00 ",,
