MASSACHUSETTS GENERAL HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
60763703,HC MGH INJ TESTOSTERONE ENANTHATE 1MG,I.C.
60763695,HC MGH INJECTION MORPHINE PRESERVATIV FREE PER 10MG,I.C.
60763687,"HC MGH INJECTION, PROPOFOL, 10 MG",I.C.
60763679,"HC MGH INJECTION, PACLITAXEL, 1 MG",I.C.
60763661,HC MGH INJ CEPHALOTHIN SOD UP TO 1GM,I.C.
60763653,HC MGH INJ DARBEPOETIN ALPH ESRD PER 1MCG,I.C.
60763646,HC MGH EPO ESRD 100 UNITS OVER 10000,I.C.
60763638,HC MGH FACTOR VIII RECOMBINANT NOS  PER IU (HELIXATE FS),I.C.
60763620,HC MGH FACTOR VIIA (NOVOSEVEN) PER 1 MICROGRAM,I.C.
60763612,HC MGH INJ VON WILLLEBRAND FACTOR (HUMATE-P) PER IU,I.C.
60763604,HC MGH FACTOR IX RECOMBINANT PER IU (BENEFIX RT),I.C.
60763588,HC MGH INJ TEMOZOLOMIDE PER 1 MG,I.C.
60763570,HC MGH EPO ESRD 100 UNITS UNDER 10000,I.C.
60763547,HC MGH INJ PEMBROLIZUMAB 50MG,I.C.
60763539,HC MGH,I.C.
60763521,HC MGH FLU VAC NO PRSV 4 VAL 3 YRS+,I.C.
60763513,HC MGH FLU VACC PRSV FREE INC ANTIG (HIGH DOSE),I.C.
60763505,HC MGH INJ METHOHEXITAL 100 MG/10ML,I.C.
60763489,HC MGH INJ ARIPIPRAZOLE EXT REL 1MG,I.C.
60763455,HC MGH INJ SILTUXIMAB 100MG,I.C.
60763422,HC MGH SERMORELIN ACETATE INJECTION PER 1 MCG,I.C.
60763414,HC MGH INJ MIDAZOLAM HCL PER 1 MG,I.C.
60763406,HC MGH INJ LACOSAMIDE  PER 1 MG,I.C.
60763398,"HC MGH LOCM 200-299MG/ML IODINE,1ML",I.C.
60763380,HC MGH INJ GLUCARPIDASE 10UNITS,I.C.
60763372,HC MGH INJ ACETAMINOPHEN 10MG,I.C.
60763364,HC MGH ANTITHYMOCYTEGLOBULNRABBIT25MG,I.C.
60763356,HC MGH LYMPHOCYTEIMMUNEGLOBULIN250MG,I.C.
60763349,HC MGH DTAP VACCINE < 7 YRS IM,I.C.
60763331,HC MGH MENINGOCOCCAL VACCINE IM,I.C.
60763323,HC MGH INJ OBINUTUZUMAB PER 10MG,I.C.
60763315,HC MGH INJ PREDNISOLONE ACETATE 1ML,I.C.
60763307,HC MGH PREDNISOLONE ORAL PER 5 MG,I.C.
60763299,HC MGH IMMUNE GLOBULIN POWDER 500MG,I.C.
60763281,HC MGH INJ DEGARELIZ 1 MG,I.C.
60763273,HC MGH INJ ALPHA1 INHIBITOR NOS 10MG,I.C.
60763265,HC MGH QUINUPRISTIN/DALFOPRISTIN500MG,I.C.
60763257,HC MGH INJ TELAVANCIN 10MG,I.C.
60763240,HC MGH INJ NELARABINE 50MG,I.C.
60763232,HC MGH DIPHENHYDRAMINE HCL 50MG ORAL,I.C.
60763224,HC MGH INJ USTEKINUMAB 1 MG,I.C.
60763216,HC MGH TEMOZOLOMIDE ORAL PER 5MG,I.C.
60763190,HC MGH SIROLIMUS ORAL PER 1MG,I.C.
60763158,HC MGH CHLORPROMAZINE HC MGHL 5MG ORAL,I.C.
60763141,"HC MGH INJECTION, PERTUZUMAB, 1 MG",I.C.
60763125,"HC MGH INJ, FILGRASTIM G-CSF EXCLUDES BIOSIMILARS 1MCG",I.C.
60763117,HC MGH TACROLIMUS EX REL (ASTAGRAF XL) ORAL 0.1MG,I.C.
60763109,HC MGH TACROLIMUS IMME REL ORAL 1MG,I.C.
60763059,HC MGH BELIMUMAB INJECTION,I.C.
60763042,HC MGH BIVALIRUDIN,I.C.
60763034,HC MGH MICAFUNGIN SODIUM INJECTION,I.C.
60763026,HC MGH COSYNTROPIN INJECTION NOS 0.25MG,I.C.
60763018,HC MGH HEP A/HEP B VACC ADULT IM,I.C.
60763000,HC MGH HEP A VACC PED/ADOL 3 DOSE IM,I.C.
60762903,HC MGH HEPATITIS A VACCINE PEDIATRIC 2 DOSE SCHEDULE IM,I.C.
60762895,HC MGH HEPATITIS A VACCINE ADULT FOR INTRAMUSCULAR USE,I.C.
60762887,HC MGH HEP B VACC ADOL 2 DOSE IM,I.C.
60762879,HC MGH HEPATITIS B VACCINE DIALYSIS DOSAGE 3 DOSE IM,I.C.
60762861,HC MGH SKYLA IUD 13.5MG LEVONORGESTRE,I.C.
60762853,HC MGH INJ DOXORUBICIN LIPOSOMAL 10MG,I.C.
60762846,HC MGH PNEUMO VACC ADMIN GIVEN AS 1ST,$35.00
60762838,HC MGH FLU VACC ADMIN GIVEN AS 1ST,$35.00
60762820,HC MGH PNEUMO VACC ADMIN GIVEN AS ADD,$31.00
60762812,HC MGH FLU VACC ADMIN GIVEN AS ADDL,$31.00
60762804,HC MGH INJ ZOLEDRONIC ACID NOS PER 1,I.C.
60762796,HC MGH MEASLES MUMPS RUBELLA VARICELLA VACC LIVE SUBQ,I.C.
60762788,HC MGH PNEUMOCOCCAL CONJ VACCINE 13 VALENT IM,$325.36
60762770,HC MGH DTAP-IPV INACTIVATED ADMIN PTS AGE 4-6 YRS IM,I.C.
60762762,HC MGH DTAP-HIB-IPV INACTIVATED VACCINE IM,I.C.
60762754,HC MGH DTAP-HEPB-IPV VACCINE INTRAMUSCULAR,I.C.
60762747,HC MGH INJ ADO-TRASTUZUMAB 1 MG,I.C.
60762721,HC MGH ASPARAGINASE-ERWINAZE 1000 IU,I.C.
60762713,HC MGH OPTHALMIC MITOMYCIN 0.2 MG,I.C.
60762705,HC MGH INJ METHYLNALTREXONE  0.1 MG,I.C.
60762697,HC MGH INJ ICATIBANT 1 MG,I.C.
60762689,HC MGH INJ IBUPROFEN 100 MG,I.C.
60762671,HC MGH INJ AFLIBERCEPT 1 MG,I.C.
60762663,HC MGH INJ ZIV-AFLIBERCEPT  1 MG,I.C.
60762655,HC MGH INJ TALIGLUCERASE ALFA 10 UNIT,I.C.
60762648,HC MGH MEDROXYPROGESTERONE ACETAT  1M,I.C.
60762630,HC MGH INJ CARFILZOMIB  1 MG,I.C.
60762614,HC MGH INJ SOD FERRIC GLUC CMP 12.5MG,I.C.
60762606,HC MGH INJ DALTEPARIN SOD PER 2500 IU,I.C.
60762598,HC MGH INJ COSYNTROPIN PER 0.25 MG,I.C.
60762580,HC MGH BLEOMYCIN 15 UNITS,I.C.
60762572,HC MGH CARMUSTINE (BICNU) 100 MG,I.C.
60762564,HC MGH BCG PER INSTILLATION,I.C.
60762556,HC MGH ASPARAGINASE 10 000 UNITS,I.C.
60762531,HC MGH INJ IMPORTED LIPODOX 10 MG,I.C.
60762515,HC MGH INJ ROMIDEPSIN 1 MG,I.C.
60762507,HC MGH DEXTRAZOXANE HCL TOTECT 250 MG,I.C.
60762499,HC MGH INJ BELATACEPT 1 MG,I.C.
60762481,HC MGH INJ FERUMOXYTOL 1 MG -ESRD USE,I.C.
60762473,HC MGH INJ FERUMOXYTOL 1 MG NON-ESRD,I.C.
60762465,HC MGH INJ ECULIZUMAB 10MG,I.C.
60762457,HC MGH INJ BRENTUXIMAB 1 MG,I.C.
60762440,HC MGH INJ LEVOLEUCOVORIN CA 0.5MG,I.C.
60762432,HC MGH IVIG GAMMAGARD NON-LYOPH  500M,I.C.
60762424,HC MGH INJ GAMMAPLEX NON-LYOPH 500MG,I.C.
60762416,HC MGH INJ DENOSUMAB 1 MG,I.C.
60762408,HC MGH ONDANSETRON ORAL PER 1 MG,I.C.
60762390,HC MGH INJ ERIBULIN MESYLATE   0.1MG,I.C.
60762382,HC MGH INJ LUMIZYME 10MG,I.C.
60762374,HC MGH INJ FOSAPREPITANT EMEND 1MG,I.C.
60762366,HC MGH DEXAMETHASONE ORAL PER 0.25MG,I.C.
60762358,HC MGH AFLURIA VACC 3 YRS OR > IM,I.C.
60762333,HC MGH INJ IPILIMUMAB 1 MG,I.C.
60762317,HC MGH INJ ACYCLOVIR SODIUM 5MG,I.C.
60762309,HC MGH FLUVIRIN VACC 3 YRS OR > IM,I.C.
60762291,HC MGH INJ FLUZONE PEDIATRIC,I.C.
60762267,HC MGH INJ LEVOCARNITINE PER 1 GRAM,I.C.
60762242,HC MGH DACLIZUMAB PARENTERAL 25 MG,I.C.
60762200,HC MGH INJ TOPOTECAN 0.1MG,I.C.
60762176,HC MGH FLUARIX VACC 3 YRS OR > IM,I.C.
60762168,HC MGH FLUZONE VACC 3 YRS OR > IM,I.C.
60762150,HC MGH FLULAVAL VACC 3 YRS OR > IM,I.C.
60762143,HC MGH NDC 00517-9120-25 AMINOCARPOIC,I.C.
60762127,HC MGH INJ CABAZITAXEL 1 MG,I.C.
60762119,HC MGH INJ IMIGLUCERASE 10 UNITS,I.C.
60762101,HC MGH INJ ESTRADIOL VALERATE TO 10MG,I.C.
60762093,HC MGH INJ PEN G BENZATHINE 100000 U,I.C.
60762085,HC MGH INJ ADRENALIN/ EPI  0.1MG,I.C.
60762077,HC MGH INJ ATROPINE SULFATE 0.01MG,I.C.
60762069,HC MGH HEMOPHILUS INFLUENZA B VACCINE,I.C.
60762051,HC MGH PROVENGE NDC 30237-8900-06,I.C.
60762044,HC MGH INJ VELAGLUCERASE 100 UNITS,I.C.
60762036,HC MGH INJ TOCILIZUMAB PER 1 MG,I.C.
60762002,HC MGH INJ HYDROCORTISONE SODSUC100MG,I.C.
60761988,HC MGH INJ OFATUMUMAB 10 MG,I.C.
60761970,HC MGH INJ POTASSIUM CHLORIDE  2MEQ,I.C.
60761962,HC MGH INJ DEXAMETHASONE SOD PHOS 1MG,I.C.
60761954,HC MGH INJ CALCIUM GLUCONATE PER 10ML,$5.44
60761947,HC MGH MENINGOCOCCAL POLYSACC VACC SC,I.C.
60761939,HC MGH TDAP VACCINE > 7 IM,I.C.
60761921,HC MGH INJ DIAZEPAM UP TO 5MG,I.C.
60761913,HC MGH INJ MEPERIDINE HCL PER 100MG,I.C.
60761905,HC MGH INJ HYDROMORPHONE UP TO 4MG,I.C.
60761897,HC MGH INJ NALOXONE 1MG,I.C.
60761889,HC MGH INJ FAMOTIDINE 20 MG,I.C.
60761871,HC MGH INJ PRALATREXATE 1 MG,I.C.
60761863,HC MGH HYLAN G F 20 SYNVISC 1 MG,I.C.
60761855,HC MGH DOCETAXEL INJ 1 MG,I.C.
60761848,HC MGH INJ C1 ESTERASE INHIB 10 UNTS,I.C.
60761814,HC MGH IVIG FEBOGAM NONLYOPH 500MG,I.C.
60761806,HC MGH INJ VITAMIN K PHYTONADIONE 1MG,I.C.
60761798,HC MGH INJ PLERIXAFOR (MOZOBIL) 1 MG,I.C.
60761780,HC MGH INJ BENDAMUSTINE HCL 1 MG,I.C.
60761772,HC MGH INJ RANITIDINE 25MG,I.C.
60761764,HC MGH INJ METOCLOPRAMIDE HCL 10 MG,I.C.
60761756,HC MGH INJ ROMIPLOSTIM NPLATE 10 MCG,I.C.
60761749,HC MGH INJ ROMIPLOSTIM NPLATE 10 MCG,I.C.
60761715,HC MGH LEVETIRACETAM 10MG,I.C.
60761707,HC MGH IXABEPILONE 1MG,I.C.
60761699,HC MGH HEPB IMM GLOB IM HEPAGAM 0.5ML,I.C.
60761681,HC MGH HEPARIN SODIUM PER 1000UNITS,I.C.
60761673,HC MGH HEPARIN SODIUM PER 10UNITS,I.C.
60761665,HC MGH HEPARIN SODIUM PER 1000 UNITS,I.C.
60761640,HC MGH TEMSIROLIMUS 1MG,I.C.
60761624,HC MGH DIPYRIDAMOLE 10 MG,I.C.
60761616,HC MGH PALIVIZUMAB-RSV-IGM 50MG,I.C.
60761608,HC MGH PANITUMUMAB 10 MG,I.C.
60761590,HC MGH IRON SUCROSE 1 MG,I.C.
60761566,HC MGH TERBUTALINE SULF UP TO 1 MG,I.C.
60761558,HC MGH FENTANYL CITRATE INJECITON,I.C.
60761541,HC MGH SINCALIDE 5 MCG,I.C.
60761533,HC MGH FLUPHENAZINE UP TO 25 MG,I.C.
60761525,HC MGH FLUPHENAZINE DECAN UP TO 25 MG,I.C.
60761517,HC MGH PENTOBARBITAL SODIUM PER 50 MG,I.C.
60761509,HC MGH OCTREOTIDE NON-DEPOT 25 MCG,I.C.
60761491,HC MGH OCTREOTIDE NON-DEPOT  25 MCG,I.C.
60761483,HC MGH MOXIFLOXACIN 100 MG,I.C.
60761467,HC MGH MORPHINE SULFATE UP TO 10 MG,I.C.
60761459,HC MGH LEVOFLOXACIN  250 MG,I.C.
60761442,HC MGH INSULIN PER 5 UNITS,I.C.
60761434,HC MGH INSULIN PER 5 UNITS,I.C.
60761426,HC MGH INSULIN PER 5 UNITS,I.C.
60761418,HC MGH PROPRANOLOL HCL UP TO 1 MG,I.C.
60761400,HC MGH ENOXAPARIN SODIUM 10 MG,I.C.
60761384,HC MGH ERTAPENEM SODIUM 500 MG,I.C.
60761376,HC MGH METHADONE HCL UP TO 10 MG,I.C.
60761368,HC MGH DIMETHYL SULFOXIDE 50% 50 ML,I.C.
60761327,HC MGH CHORI0 GONADOTROPIN PER 1000 U,I.C.
60761319,HC MGH CEFTAZIDIME PER 500 MG,I.C.
60761285,HC MGH BENZTROPINE MESYLATE PER 1 MG,I.C.
60761277,HC MGH NATALIZUMAB PER 1 MG,I.C.
60761269,HC MGH TENIPOSIDE 50 MG,I.C.
60761251,HC MGH PEGASPARGASE SINGLE DOSE VIAL,I.C.
60761228,HC MGH GANCICLOVIR 4.5 MG LA IMPLANT,I.C.
60761210,HC MGH HYALURONIDASE RECOMB 1 USP U,I.C.
60761202,HC MGH UROKINASE  250 000 IU VIAL,I.C.
60761194,HC MGH TRIMETREXATE GLUCURO PER 25 MG,I.C.
60761186,HC MGH TREPROSTINIL 1 MG,I.C.
60761178,HC MGH TIROFIBAN HCL 0.25MG,I.C.
60761160,HC MGH TIGECYCLINE 1 MG,I.C.
60761152,HC MGH THYROTROPIN ALPHA 0.9 MG,I.C.
60761145,HC MGH RETEPLASE 18.1 MG,I.C.
60761137,HC MGH SECRETIN SYN HUMAN 1 MCG,I.C.
60761129,HC MGH RISPERIDONE LA 0.5 MG,I.C.
60761111,HC MGH PALIFERMIN 50 MCG,I.C.
60761103,HC MGH OMALIZUMAB 5 MG,I.C.
60761095,HC MGH OPRELVEKIN 5 MG,I.C.
60761079,HC MGH NESIRITIDE 0.1 MG,I.C.
60761061,HC MGH LINEZOLID 200 MG,I.C.
60761053,HC MGH LEUPROL ACE DEPOT PER 3.75 MG,I.C.
60761046,HC MGH ITRACONAZOLE 50 MG,I.C.
60761020,HC MGH IBUTILIDE FUMARATE 1 MG,I.C.
60761012,HC MGH TETANUS IMMUN GLOB UP TO 250 U,I.C.
60761004,HC MGH HEMIN 1 MG,I.C.
60760998,HC MGH GONADORELIN HYDROC PER 100 MCG,I.C.
60760972,HC MGH FOSCARNET SODIUM PER 1000 MG,I.C.
60760964,HC MGH ESTROGEN CONJUGATED PER 25 MG,I.C.
60760956,HC MGH ERGONOVINE MALEAT UP TO 0.2 MG,I.C.
60760949,HC MGH EPTIFIBATIDE 5 MG,I.C.
60760931,HC MGH ENFUVIRTIDE 1 MG,I.C.
60760923,HC MGH CHLOROTHIAZIDE SOD PER 500 MG,I.C.
60760915,HC MGH CORTICOTROPIN UP TO 40 UNITS,I.C.
60760907,HC MGH CORTICORELIN OVINE TRIFL 1 MCG,I.C.
60760899,HC MGH CIDOFOVIR 375 MG,I.C.
60760881,HC MGH CLONIDINE HYDROCHLORIDE 1 MG,I.C.
60760865,HC MGH BOTULINUM TOXIN B PER 100 U,I.C.
60760857,HC MGH BOTULINUM TOXIN TYPE A PER U,I.C.
60760840,HC MGH BASILIXIMAB 20 MG,I.C.
60760832,HC MGH BACLOFEN 50 MCG INTRATHECAL,I.C.
60760824,HC MGH BACLOFEN 10 MG,I.C.
60760782,HC MGH METHYLDOPATE HCL UP TO 250 MG,I.C.
60760774,HC MGH AGALSIDASE BETA 1 MG,I.C.
60760758,HC MGH ACETYLCYSTEINE 100 MG,I.C.
60760741,HC MGH ALGLUCOSIDASE ALFA 10 MG,I.C.
60760733,HC MGH IDURSULFASE 1 MG,I.C.
60760725,HC MGH METHYLPREDNISOLONE SOD SUC40MG,I.C.
60760717,HC MGH INJ PALONESETRON HCL 25MCG,I.C.
60760691,HC MGH APREPITANT 80MG,I.C.
60760683,HC MGH EMEND TRI PAK APREPITANT 5MG,I.C.
60760667,HC MGH AMIKACIN SULFATE 100MG,I.C.
60760642,HC MGH ZOSTER SHINGLES VACCINE DOSE,I.C.
60760634,HC MGH HUMAN PAPILLOMA VIRUS HPV DOSE,I.C.
60760618,HC MGH ABATACEPT 10MG,I.C.
60760592,HC MGH DECITABINE (DACOGEN)  1MG,I.C.
60760576,HC MGH INJ AMPHOB LIPID CPLX 10MG,I.C.
60760568,HC MGH MYCOPHENOLATE ORAL 250MG,I.C.
60760550,"HC MGH MYCOPHENOLIC ACID 180MG, ORAL",I.C.
60760543,HC MGH ALTEPLASE 1MG VIAL,I.C.
60760535,HC MGH AMIODARONE HCL 30MG/ML VIAL,I.C.
60760527,HC MGH AMINOPHYLLINE 250MG/10ML VL,I.C.
60760519,HC MGH INJECTION MEROPENEM 100 MG,I.C.
60760485,HC MGH INJ STREPTOMYCIN UP TO 1 GRAM,I.C.
60760477,HC MGH INJ STREPTOKINASE 250000 IU,I.C.
60760451,HC MGH INJ PEN G PROCAINE 600000 U,I.C.
60760444,HC MGH INJ PEN G POTASSIUM 600000 U,I.C.
60760436,HC MGH TYPHOID VACCINE POLYSACCH IM,I.C.
60760410,HC MGH RABIES VACCINE FOR IM USE,I.C.
60760394,HC MGH INJECTION LEPIRUDIN 50 MG,I.C.
60760386,HC MGH INJECTION DIAZOXIDE UP TO 30MG,I.C.
60760378,HC MGH INJECTION EPOPROSTENOL 0.5 MG,I.C.
60760360,HC MGH INJ ZIPRASIDONE MESYLATE 10 MG,I.C.
60760352,HC MGH INJ VORICONAZOLE 10MG,I.C.
60760345,HC MGH TACROLIMUS PARENTERAL 5MG,I.C.
60760329,HC MGH INJ CEFOTAXIME SODIUM PER GRAM,I.C.
60760311,HC MGH INJ CEFEPIME HYDROCHLR 500MG,I.C.
60760303,HC MGH INJ CEFAZOLIN SODIUM 500MG,I.C.
60760295,HC MGH INJ CASPOFUNGIN ACETATE 5MG,I.C.
60760287,HC MGH INJ AZITHROMYCIN 500 MG,I.C.
60760279,HC MGH AZATHIOPRINE PARENTERAL 100MG,I.C.
60760253,HC MGH INJ APROTONIN 10000 KIU,I.C.
60760246,HC MGH INJ AMPIC/SULBACTAM PER 1.5GM,I.C.
60760238,HC MGH INJ AMPICILLIN SODIUM 500 MG,I.C.
60760220,HC MGH INJ TRIAMICINOLONE PER 10 MG,I.C.
60760212,HC MGH INJ TORSEMIDE 10 MG/ML,I.C.
60760204,HC MGH INJ TOBRAMYCIN SULF UP TO 80MG,I.C.
60760196,HC MGH INJ SUMATRIPTAN SUCCINATE 6 MG,I.C.
60760188,HC MGH INJ PRALIDOXIME CHLR UP TO 1GM,I.C.
60760170,HC MGH INJ PIPERACILLIN/TAZOBACTAM,I.C.
60760162,HC MGH INJ PARICALCITOL 1 MCG,I.C.
60760154,HC MGH INJ OXACILLIN SOD UP TO 250MG,I.C.
60760147,HC MGH MYCOPHENOLATE INJECT 250MG,I.C.
60760139,HC MGH INJ MILRONONE LACTATE 5 MG,I.C.
60760121,HC MGH INJ KETOROLAC TROMETHAMIN 15MG,I.C.
60760113,HC MGH INJ KANAMYCIN SUL UP TO 500 MG,I.C.
60760105,HC MGH INJECTION INFLIXIMAB 10 MG,I.C.
60760097,HC MGH INJ CILASTATIN PER 250 MG,I.C.
60760089,HC MGH INJECTION MELPHALAN HC1 50 MG,I.C.
60760071,HC MGH INJ HALOPERIDOL DEC PER 50 MG,I.C.
60760063,HC MGH INJ HALOPERIDOL UP TO 5 MG,I.C.
60760055,HC MGH-GLYCOPYRROLATE INH SOL PER MG,I.C.
60760048,HC MGH INJ GLUCAGON HCL PER 1 MG,I.C.
60760030,HC MGH INJ GANCICLOVIR SODIUM 500 MG,I.C.
60760014,HC MGH INJECTION FOSPHENYTOIN 50 MG,I.C.
60760006,HC MGH INJ FONDARPARINUX SOD 0.5 MG,I.C.
60759990,HC MGH INJ FLUCONAZOLE 200 MG,I.C.
60759982,HC MGH INJ FOMEPIZOLE 15 MG,I.C.
60759974,HC MGH INJ ERYTHROMYCIN PER 500 MG,I.C.
60759966,HC MGH INJ EDETATE CAL DIS TO 1000 MG,I.C.
60759958,HC MGH INJECTION DOPAMINE HCL 40 MG,I.C.
60759941,HC MGH INJ DOBUTAMINE HCL PER 250 MG,I.C.
60759933,HC MGH INJ DIMERCAPROL PER 100 MG,I.C.
60759925,HC MGH INJ DIGOXIN IMMUNE PER VIAL,I.C.
60759917,HC MGH INJECTION DIGOXIN UP TO 0.5 MG,I.C.
60759909,HC MGH DENILEUKIN DIFTITOX 300 MCG,I.C.
60759891,HC MGH DAUNORUBICIN LIPOSOMAL 10 MG,I.C.
60759883,HC MGH INJECTION DAPTOMYCIN 1 MG,I.C.
60759859,HC MGH CYCLOSPORINE PARENTERAL 250 MG,I.C.
60759834,HC MGH EDATE DISODIUM PER 150 MG,I.C.
60759826,HC MGH INJ DIHYDROERGOTAMINE 1 MG,I.C.
60759818,HC MGH INJ COSYNTROPIN PER 0.25 MG,I.C.
60759800,HC MGH INJ COLISTIMETHATE SOD 150 MG,I.C.
60759792,HC MGH INJ CIPROFLOXACIN IV 200 MG,I.C.
60759784,HC MGH INJ CEFUROXIME SOD PER 750 MG,I.C.
60759776,HC MGH INJECTION CALCITRIOL 0.1 MCG,I.C.
60759768,HC MGH INJ CALCITONIN SALMON TO 400 U,I.C.
60759750,HC MGH INJ CAFFEINE CITRATE 5 MG,I.C.
60759743,HC MGH INJ BUTORPHANOL TARTRATE 1 MG,I.C.
60759719,HC MGH ABCIXIMAB 10MG,I.C.
60759701,HC MGH INJ CLOFARABINE 1 MG,I.C.
60759693,HC MGH TARCENA150 NDC 5024-0064-01,I.C.
60759685,HC MGH-TARCEVA100 NDC 5024-0063-01,I.C.
60759677,HC MGH OXALIPLATIN 0.5 MG,I.C.
60759669,HC MGH AZACTIDINE 1MG INJ,I.C.
60759651,HC MGH INJ BORTEZIMIB (VELCADE) .1 MG,I.C.
60759644,HC MGH FASLODEX 25 MG,I.C.
60756632,HC MGH-PENTAMIDINE ISETHIONATE 300MG,I.C.
60740016,HC MGH INJ FILGRASTIM G-CSF BIOSIM PER 1 MCG,I.C.
60704509,HC MGH ALBUMIN BOUND PAXCITAXIL 1MG,I.C.
60704483,HC MGH ERBITUX 10MG,I.C.
60704475,HC MGH AVASTIN 10MG,I.C.
60704467,HC MGH ALIMTA 10MG,I.C.
60704459,HC MGH RASBURICASE 0.5MG,I.C.
60704400,HC MGH INJ BUSULFAN PER 1 MG,I.C.
60704053,HC MGH ARSENIC TRIOXIDE 1MG,I.C.
60704012,HC MGH GOSERELIN 3.6 MG,I.C.
60702867,HC MGH METHYLPRED SOD SUCC 125 MG,I.C.
60702859,HC MGH AMPHOTERICIN B LIPO 50 MG,I.C.
60702842,HC MGH AMPHOTERICIN B LIPO 10 MG,I.C.
60702826,HC MGH INJ NANDROLONE DECON UPTO 50MG,I.C.
60702818,HC MGH IRON DEXTRAN PER 50 MG,I.C.
60702776,HC MGH CYTARABINE LIPOSOME10 MG,I.C.
60702719,HC MGH PEGFILGRASTIM PER 6MG,I.C.
60702669,HC MGH DARBEPOETIN ALFA 1MCG,I.C.
60702636,HC MGH PORFIMER SODIUM 75 MG,I.C.
60702628,HC MGH GEMTUZUMAB OZOGAM(MYLOTARG)5MG,I.C.
60702610,HC MGH OCTREOTIDE LAR DEPOT PER 1 MG,I.C.
60702578,HC MGH EPIRUBICIN INJ 2 MG,I.C.
60702560,HC MGH METHOTREXATE 2.5 MG TAB,I.C.
60702529,HC MGH LEUPROLIDE [LUPRON] 1MG,I.C.
60702495,HC MGH ETOPOSIDE 50MG ORAL,I.C.
60702438,HC MGH ETOPOSIDE 10MG,I.C.
60702420,HC MGH INJ EPOETIN NON-ESRD PER 1000U,I.C.
60702412,HC MGH CISPLATIN (PLATINOL) PER 10MG,I.C.
60702347,HC MGH INJ HEPARIN LOCK FLUSH 10UNIT,I.C.
60702321,HC MGH TRASTUZUMAB (HERCEPTIN) 10MG,I.C.
60702305,HC MGH RITUXIMAB (RITUXAN) 100MG,I.C.
60702214,HC MGH IRINOTECAN 20 MG,I.C.
60702180,HC MGH INJ ONDADSETRON 1 MG,I.C.
60702172,HC MGH GRANISETRON 100 MICRO GM,I.C.
60702164,HC MGH AMIFOSTINE INJ. 500 MG.,I.C.
60702149,HC MGH GEMCITABINE 200 MG,I.C.
60702107,HC MGH VANCOMYCIN 500 MG,I.C.
60702099,HC MGH INJ PAMIDRONATE(AREDIA)PER30MG,I.C.
60702081,HC MGH GRANISETRON 1 MG TABLET,I.C.
60702040,HC MGH GENTAMICIN UP TO 80 MG INJEC,I.C.
60702032,HC MGH DEXTRAZOXANE 250 MG,I.C.
60702008,HC MGH CYCLOPHOSPHAMIDE 25 MG,I.C.
60701976,HC MGH ALGLUCERASE (CEREDASE) PER 10U,I.C.
60701968,HC MGH PROMETHAZINE 50 MG,I.C.
60701950,HC MGH PHENYTOIN 50 MG,I.C.
60701943,HC MGH MAGNESIUM SULF 500 MG,I.C.
60701935,HC MGH HYDROXYZINE 25 MG,I.C.
60701927,HC MGH CEFTRIAXONE 250 MG,I.C.
60701919,HC MGH MESNA 200 MG,I.C.
60701901,HC MGH CLADRIBINE (LEUSTATIN) PER 1MG,I.C.
60701893,HC MGH CA LEUKOVORIN 50 MG,I.C.
60701885,HC MGH VINBLASTINE SULF (VELBAN) 1MG,I.C.
60701877,HC MGH VINORELBINE 10 MG,I.C.
60701851,HC MGH MITOXANTRONE 5 MG,I.C.
60701836,HC MGH INTERFERON A-2B 1 MILL,I.C.
60701828,HC MGH DOXORUBICIN 10 MG,I.C.
60701810,HC MGH DESMOPRESSIN 0.1 MG,I.C.
60701802,HC MGH DAUNORUBICIN 10 MG,I.C.
60701760,HC MGH HEP B VAC DIA/IMMUNO 4-DOSE IM,$191.75
60701745,HC MGH HEPB VACC PED/ADOL 3 DOSE IM,$23.83
60701661,HC MGH TD TOXOIDS ADSORBED PRSRV FR 7 YR/> IM,I.C.
60701646,HC MGH POLIO VACCINE INACTIVE,I.C.
60701612,HC MGH MEASLES/MUMPS/RUBELLA (MMR),I.C.
60701596,HC MGH LIDOCAINE INJ. 10 MG,I.C.
60701570,HC MGH GMCSF 50MCG,I.C.
60701331,HC MGH PNEUMOCOCCAL VACC 23V 2YR+,$145.74
60701315,HC MGH PHENOBABITAL 65MG VIAL,I.C.
60701307,HC MGH-PERPHENAZINE 4MG TABLET,I.C.
60701257,HC MGH METHYLPREDNISOLONE 125MG,I.C.
60701240,HC MGH INJ METHYLENE BLUE 1 MG,I.C.
60701232,HC MGH MANNITOL 25% 12.5 GM VIAL,I.C.
60701216,HC MGH LORAZEPAM 2MG SYRINGE,I.C.
60701190,HC MGH DEXTROSE 5% WATER IV 500ML,I.C.
60701125,HC MGH HEPATITIS B VACCINE,I.C.
60701109,HC MGH FUROSEMIDE 20 MG VIAL,I.C.
60701075,HC MGH DIPHENHYDRAMINE 50 MG AMP,I.C.
60701042,HC MGH DEFEROXAMINE 500 MG AMP,I.C.
60701034,HC MGH CYANOCOBALAMIN 1000 MCG SYR,I.C.
60700549,HC MGH MITOMYCIN 5 MG,I.C.
60700457,HC MGH LEUPROLIDE[LUPRON DEPOT] 7.5MG,I.C.
